date,Ex,ExLag1,ExLag2,ExLag3,ExLag4,ExLag5,ExLag6,ExLag7,ExLag8,ExLag9,ExLag10,R1,R1Lag1,R1Lag2,R1Lag3,R1Lag4,R1Lag5,R1Lag6,R1Lag7,R1Lag8,R1Lag9,R1Lag10,R2,R2Lag1,R2Lag2,R2Lag3,R2Lag4,R2Lag5,R2Lag6,R2Lag7,R2Lag8,R2Lag9,R2Lag10
1971-01-01,358.0200,,,,,,,,,,,4.44,,,,,,,,,,,5.750000000,,,,,,,,,,
1971-02-01,357.5450,,,,,,,,,,,3.70,,,,,,,,,,,5.750000000,,,,,,,,,,
1971-03-01,357.5187,,,,,,,,,,,3.38,,,,,,,,,,,5.750000000,,,,,,,,,,
1971-04-01,357.5032,,,,,,,,,,,3.86,,,,,,,,,,,5.750000000,,,,,,,,,,
1971-05-01,357.4130,,,,,,,,,,,4.14,,,,,,,,,,,5.500000000,,,,,,,,,,
1971-06-01,357.4118,,,,,,,,,,,4.75,,,,,,,,,,,5.500000000,,,,,,,,,,
1971-07-01,357.4043,,,,,,,,,,,5.40,,,,,,,,,,,5.250000000,,,,,,,,,,
1971-08-01,355.7800,,,,,,,,,,,4.94,,,,,,,,,,,5.250000000,,,,,,,,,,
1971-09-01,338.0210,,,,,,,,,,,4.69,,,,,,,,,,,5.250000000,,,,,,,,,,
1971-10-01,331.1105,,,,,,,,,,,4.46,,,,,,,,,,,5.250000000,,,,,,,,,,
1971-11-01,328.7520,331.11,338.02,355.78,357.40,357.41,357.41,357.50,357.52,357.55,358.02,4.22,4.46,4.69,4.94,5.4,4.75,4.14,3.86,3.38,3.7,4.44,5.250000000,5.25,5.25,5.25,5.25,5.50,5.50,5.75,5.75,5.75,5.75
1971-12-01,320.0727,328.75,331.11,338.02,355.78,357.40,357.41,357.41,357.50,357.52,357.55,4.01,4.22,4.46,4.69,4.94,5.4,4.75,4.14,3.86,3.38,3.7,4.750000000,5.25,5.25,5.25,5.25,5.25,5.50,5.50,5.75,5.75,5.75
1972-01-01,312.7200,320.07,328.75,331.11,338.02,355.78,357.40,357.41,357.41,357.50,357.52,3.38,4.01,4.22,4.46,4.69,4.94,5.4,4.75,4.14,3.86,3.38,4.750000000,4.75,5.25,5.25,5.25,5.25,5.25,5.50,5.50,5.75,5.75
1972-02-01,305.1870,312.72,320.07,328.75,331.11,338.02,355.78,357.40,357.41,357.41,357.50,3.20,3.38,4.01,4.22,4.46,4.69,4.94,5.4,4.75,4.14,3.86,4.750000000,4.75,4.75,5.25,5.25,5.25,5.25,5.25,5.50,5.50,5.75
1972-03-01,302.5365,305.19,312.72,320.07,328.75,331.11,338.02,355.78,357.40,357.41,357.41,3.73,3.2,3.38,4.01,4.22,4.46,4.69,4.94,5.4,4.75,4.14,4.750000000,4.75,4.75,4.75,5.25,5.25,5.25,5.25,5.25,5.50,5.50
1972-04-01,303.5605,302.54,305.19,312.72,320.07,328.75,331.11,338.02,355.78,357.40,357.41,3.71,3.73,3.2,3.38,4.01,4.22,4.46,4.69,4.94,5.4,4.75,4.750000000,4.75,4.75,4.75,4.75,5.25,5.25,5.25,5.25,5.25,5.50
1972-05-01,304.3795,303.56,302.54,305.19,312.72,320.07,328.75,331.11,338.02,355.78,357.40,3.69,3.71,3.73,3.2,3.38,4.01,4.22,4.46,4.69,4.94,5.4,4.750000000,4.75,4.75,4.75,4.75,4.75,5.25,5.25,5.25,5.25,5.25
1972-06-01,302.4145,304.38,303.56,302.54,305.19,312.72,320.07,328.75,331.11,338.02,355.78,3.91,3.69,3.71,3.73,3.2,3.38,4.01,4.22,4.46,4.69,4.94,4.250000000,4.75,4.75,4.75,4.75,4.75,4.75,5.25,5.25,5.25,5.25
1972-07-01,301.0305,302.41,304.38,303.56,302.54,305.19,312.72,320.07,328.75,331.11,338.02,3.98,3.91,3.69,3.71,3.73,3.2,3.38,4.01,4.22,4.46,4.69,4.250000000,4.25,4.75,4.75,4.75,4.75,4.75,4.75,5.25,5.25,5.25
1972-08-01,301.1609,301.03,302.41,304.38,303.56,302.54,305.19,312.72,320.07,328.75,331.11,4.02,3.98,3.91,3.69,3.71,3.73,3.2,3.38,4.01,4.22,4.46,4.250000000,4.25,4.25,4.75,4.75,4.75,4.75,4.75,4.75,5.25,5.25
